idEstado;Count.state;o.Count.state;o.estados.city;o.idCity
5;CO;CO;Trinidad;2647
5;CO;CO;Pleasant View;2094
5;CO;CO;Centennial;432
5;CO;CO;Monument;1740
5;CO;CO;Valdez;2691
5;CO;CO;Bailey;143
5;CO;CO;Golden;1003
5;CO;CO;Strasburg;2543
5;CO;CO;Fort Morgan;902
5;CO;CO;New Castle;1811
5;CO;CO;Evans;826
5;CO;CO;Colorado City;553
5;CO;CO;Colorado Springs;554
5;CO;CO;Friendly Hills;941
5;CO;CO;Larimer County;1427
5;CO;CO;Watkins;2765
5;CO;CO;Avon;132
5;CO;CO;Federal Heights;859
5;CO;CO;Lakewood;1406
5;CO;CO;Commerce City;568
5;CO;CO;Brandon;291
5;CO;CO;Rifle;2227
5;CO;CO;Loveland;1531
5;CO;CO;Parker;1998
5;CO;CO;Englewood;805
5;CO;CO;Thornton;2619
5;CO;CO;Clear Creek Canyon;512
5;CO;CO;Longmont;1522
5;CO;CO;Broomfield;327
5;CO;CO;Gunnison County;1071
5;CO;CO;Park County;1997
5;CO;CO;Orchard Mesa;1942
5;CO;CO;Brighton;307
5;CO;CO;Lone Tree;1520
5;CO;CO;Adams County;10
5;CO;CO;Loma;1515
5;CO;CO;Fruita;945
5;CO;CO;Alamosa;25
5;CO;CO;Hanover;1093
5;CO;CO;Idaho Springs;1230
5;CO;CO;Arvada;93
5;CO;CO;Boulder;277
5;CO;CO;Northglenn;1879
6;CT;CT;Mashantucket;1618
6;CT;CT;New Britain;1807
6;CT;CT;Old Saybrook;1918
6;CT;CT;East Hartford;736
6;CT;CT;Bridgeport;304
6;CT;CT;Ansonia;63
6;CT;CT;Bolton;265
6;CT;CT;Stamford;2520
6;CT;CT;Danbury;638
6;CT;CT;West Haven;2803
6;CT;CT;Oakdale;1893
6;CT;CT;Wethersfield;2830
6;CT;CT;Thomaston;2615
6;CT;CT;Manchester;1578
6;CT;CT;Waterbury;2762
6;CT;CT;Suffield;2550
6;CT;CT;Fairfield;841
6;CT;CT;Hartford;1109
6;CT;CT;New Milford;1818
6;CT;CT;Norwich;1882
7;DC;DC;Washington;2749
8;DE;DE;Wilmington;2858
8;DE;DE;Lewes;1469
8;DE;DE;Frederica;931
8;DE;DE;Milford;1686
8;DE;DE;Claymont;509
8;DE;DE;Dover;710
8;DE;DE;Smyrna;2436
8;DE;DE;Middletown;1676
8;DE;DE;New Castle;1809
9;FL;FL;Leesburg;1457
9;FL;FL;Lake Asbury;1384
9;FL;FL;Melbourne;1647
9;FL;FL;Florida City;880
9;FL;FL;Lawtey;1443
9;FL;FL;Elkton;789
9;FL;FL;Milton;1693
9;FL;FL;Lakeland;1399
9;FL;FL;Pompano Beach;2107
9;FL;FL;Miami;1667
9;FL;FL;Floral City;872
9;FL;FL;Mexico Beach;1665
9;FL;FL;Marion County;1605
9;FL;FL;Miramar;1699
9;FL;FL;Lauderhill;1433
9;FL;FL;Lehigh Acres;1459
9;FL;FL;Lake Wales;1398
9;FL;FL;Lake Mary;1395
9;FL;FL;Loxahatchee;1539
9;FL;FL;Miami-Dade;1671
9;FL;FL;Micanopy;1672
9;FL;FL;Eustis;824
9;FL;FL;Dundee;719
9;FL;FL;Miami Gardens;1669
9;FL;FL;Mandarin;1583
9;FL;FL;Lauderdale Lakes;1432
9;FL;FL;Middleburg;1674
9;FL;FL;Dover;708
9;FL;FL;Yulee;2910
9;FL;FL;Manatee;1577
9;FL;FL;Lealman;1449
9;FL;FL;Mascotte;1617
9;FL;FL;Englewood;803
9;FL;FL;Edgewater;755
9;FL;FL;Miami Beach;1668
9;FL;FL;Winter Haven;2875
9;FL;FL;Largo;1426
9;FL;FL;Midway;1682
9;FL;FL;Lady Lake;1377
9;FL;FL;Lakes Wales;1403
9;FL;FL;Little Havana;1495
9;FL;FL;Lantana;1422
9;FL;FL;Gainesville;955
9;FL;FL;Indiantown;1239
9;FL;FL;Hernando;1147
9;FL;FL;Carollwood;404
9;FL;FL;Casselberry;418
9;FL;FL;Port Richey;2120
9;FL;FL;Port St. Lucie;2122
9;FL;FL;Port St. Joe;2121
9;FL;FL;Indian River County;1237
9;FL;FL;Cantonment;394
9;FL;FL;Putnam Hall;2164
9;FL;FL;Callahan;378
9;FL;FL;Quincy;2170
9;FL;FL;Indialantic;1236
9;FL;FL;Sunrise;2566
9;FL;FL;Cape Canaveral;396
9;FL;FL;Cape Coral;397
9;FL;FL;Pensacola;2038
9;FL;FL;Tamarac;2589
9;FL;FL;Perdido Key;2042
9;FL;FL;Frostproof;944
9;FL;FL;Panama City Beach;1988
9;FL;FL;Panama City;1987
9;FL;FL;Citra;487
9;FL;FL;Jacksonsville;1266
9;FL;FL;Pinellas Park;2075
9;FL;FL;Poinciana;2101
9;FL;FL;Ft. Lauderdale;947
9;FL;FL;Port Orange;2118
9;FL;FL;Port Charlotte;2116
9;FL;FL;Fruitland Park;946
9;FL;FL;Tallahassee;2588
9;FL;FL;Plantation;2091
9;FL;FL;Plant City;2090
9;FL;FL;Immokalee;1232
9;FL;FL;Boynton Beach;284
9;FL;FL;St. Petersburg;2517
9;FL;FL;Sarasota;2356
9;FL;FL;Hilliard;1159
9;FL;FL;Bradenton;288
9;FL;FL;San Carlos Park;2319
9;FL;FL;Boyton Beach;285
9;FL;FL;Starke;2525
9;FL;FL;Sebring;2373
9;FL;FL;Spring Hill;2487
9;FL;FL;Beverly Hills;226
9;FL;FL;Springfield;2493
9;FL;FL;Auburndale;119
9;FL;FL;St. Cloud;2505
9;FL;FL;Seville;2384
9;FL;FL;St. Augustine;2500
9;FL;FL;Sneads;2437
9;FL;FL;Homestead;1187
9;FL;FL;Vero Beach;2706
9;FL;FL;Hollywood;1180
9;FL;FL;Rockledge;2251
9;FL;FL;Bushnell;355
9;FL;FL;Hialeah;1153
9;FL;FL;Riverview;2241
9;FL;FL;Viera;2710
9;FL;FL;Bruce;330
9;FL;FL;Ruskin;2293
9;FL;FL;Belle Glade;199
9;FL;FL;Hog Valley;1173
9;FL;FL;Safety Harbor;2300
9;FL;FL;Brooksville;323
9;FL;FL;Holly Hill;1179
9;FL;FL;Holiday;1176
9;FL;FL;Gifford;983
9;FL;FL;Palmetto;1985
9;FL;FL;Kendale Lakes;1324
9;FL;FL;Nokomis;1848
9;FL;FL;Noma;1850
9;FL;FL;Crescent City;607
9;FL;FL;Avon Park;133
9;FL;FL;West Kendall;2805
9;FL;FL;Niceville;1838
9;FL;FL;Crystal Springs;616
9;FL;FL;North Miami;1871
9;FL;FL;North Fort Myers;1864
9;FL;FL;The Villages;2613
9;FL;FL;North Miami Beach;1872
9;FL;FL;Amelia Island;49
9;FL;FL;Fort Walton Beach;910
9;FL;FL;North Escambia;1862
9;FL;FL;Fountain;914
9;FL;FL;Dade City;626
9;FL;FL;West Palm Beach;2815
9;FL;FL;DeLand;655
9;FL;FL;Fort Lauderdale;897
9;FL;FL;Daytona Beach;652
9;FL;FL;Deltona;676
9;FL;FL;Titusville;2630
9;FL;FL;Mulberry;1776
9;FL;FL;Delray Beach;674
9;FL;FL;Navarre;1798
9;FL;FL;Thonotosassa;2618
9;FL;FL;Fort Pierce;904
9;FL;FL;Fort Myers;903
9;FL;FL;Barberville;155
9;FL;FL;Davie;648
9;FL;FL;Dania Beach;639
9;FL;FL;Naples;1793
9;FL;FL;Coral Springs;582
9;FL;FL;Tampa;2590
9;FL;FL;Osteen;1952
9;FL;FL;Clermont;518
9;FL;FL;Weeki Wachi;2782
9;FL;FL;Tarpon Springs;2593
9;FL;FL;Temple Terrace;2604
9;FL;FL;Ormond Beach;1947
9;FL;FL;Orlando;1946
9;FL;FL;Palatka;1974
9;FL;FL;Palm City;1979
9;FL;FL;Palm Beach Gardens;1978
9;FL;FL;Apopka;71
9;FL;FL;Palm Harbor;1981
9;FL;FL;Palm Bay;1977
9;FL;FL;Clearwater;516
9;FL;FL;Jacksonville;1267
9;FL;FL;Grant-Valkaria;1031
9;FL;FL;Hallandale Beach;1080
9;FL;FL;Ocala;1900
9;FL;FL;Olustee;1922
9;FL;FL;Old Town;1920
9;FL;FL;Jupiter;1305
9;FL;FL;North Port;1874
9;FL;FL;Oakland Park;1897
9;FL;FL;Bascom;167
9;FL;FL;Coleman;549
9;FL;FL;Cocoa;540
